,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,rs_artist13,t_artist,rs_rank13,t_rank,rs_year13,t_year,nme_song23,nme_artist23,t_artist23,nme_rank23,t_rank23
44,suite judy blue eyes,,,,,,,suite: judy blue eyes,"crosby, stills & nash","crosby, stills & nash",418,58.0,1969,1969.0,,,,,
45,superstition,superstition,stevie wonder,stevie wonder,74,103,1973,superstition,stevie wonder,stevie wonder,74,15.0,1973,1972.0,superstition,stevie wonder,stevie wonder,103,15.0
46,that'll be the day,,,,,,,that’ll be the day,"holly, buddy",buddy holly and the crickets,39,20.0,1957,1957.0,,,,,
47,the night they drove old dixie down,,,,,,,the night they drove old dixie down,the band,the band,245,75.0,1969,1969.0,,,,,
48,thunder road,,,,,,,thunder road,bruce springsteen,bruce springsteen,86,49.0,1975,1975.0,,,,,
49,tutti frutti,,,,,,,tutti frutti,little richard,little richard,43,28.0,1956,1955.0,,,,,
50,,,,,,,,wake up,,,,,,,wake up,arcade fire,arcade fire,25,82.0
51,what'd i say (part 1&2),,,,,,,what’d i say,ray charles,ray charles,10,17.0,1959,1959.0,,,,,
52,where did our love go,,,,,,,where did our love go,the supremes,the supremes,472,31.0,1964,1964.0,,,,,
53,(don`t fear) the reaper,(don't fear) the reaper,blue oyster cult,blue oyster cult,397,232,1976,,,,,,,,,,,,
54,1999,1999,prince,prince,212,313,1982,,,,,,,,,,,,
55,a change is gonna come,a change is gonna come,sam cooke,sam cooke,12,129,1964,,,,,,,,,,,,
56,a day in a life,a day in the life,the beatles,the beatles,26,17,1967,,,,,,,,,,,,
57,all along the watchtower,all along the watchtower,jimi hendrix,jimi hendrix,48,315,1968,,,,,,,,,,,,
58,all the young dudes,all the young dudes,mott the hoople,mott the hoople,253,149,1972,,,,,,,,,,,,
59,alone again or,alone again or,love,love,436,141,1967,,,,,,,,,,,,
60,anarchy in the u.k.,anarchy in the uk,sex pistols,sex pistols,53,84,1976,,,,,,,,,,,,
61,beast of burden,house of jealous lovers,the rolling stones,the rapture,435,107,1981,,,,,,,,,,,,
62,bitter sweet symphony,bitter sweet symphony,the verve,the verve,382,115,1997,,,,,,,,,,,,
63,blitzkrieg bop,blitzkrieg bop,the ramones,ramones,92,237,1976,,,,,,,,,,,,
64,born to run,born to run,bruce springsteen,bruce springsteen,21,54,1975,,,,,,,,,,,,
65,buddy holly,buddy holly,weezer,weezer,497,429,1994,,,,,,,,,,,,
66,california dreamin',california dreaming,the mamas and the papas,the mamas and the papas,89,343,1967,,,,,,,,,,,,
