,rs_rank,rs_artist,rs_song,rs_year
161,162,sinead o'connor,nothing compares 2 u,1990
162,163,queen,bohemian rhapsody,1975
163,164,johnny cash,folsom prison blues,1956
164,165,tracy chapman,fast car,1988
165,166,eminem,lose yourself,2002
166,167,marvin gaye,let’s get it on,1973
167,168,the temptations,papa was a rollin' stone,1972
168,169,r.e.m.,losing my religion,1991
169,170,joni mitchell,both sides now,1969
170,171,abba,dancing queen,1976
171,172,aerosmith,dream on,1973
172,173,the sex pistols,god save the queen,1977
173,174,rolling stones,paint it black,1966
174,175,bobby fuller four,i fought the law,1966
175,176,the beach boys,don't worry baby,1964
176,177,tom petty,free fallin',1989
177,178,big star,september girls,1974
178,179,joy division,love will tear us apart,1980
179,180,outkast,hey ya,2003
180,181,booker t & mgs,green onions,1962
181,182,drifters,save the last dance for me,1960
182,183,bb king,the thrill is gone,1969
183,184,the beatles,"please, please me",1964
184,185,bob dylan,desolation row,1965
185,186,aretha franklin,never loved a man (the way i love you),1967
186,187,ac/dc,back in black,1980
187,188,ccr,who'll stop the rain,1970
188,189,the bee gees,stayin' alive,1977
189,190,bob dylan,knocking on heavens door,1973
190,191,lynyrd skynyrd,free bird,1973
191,192,glen campbell,wichita lineman,1968
192,193,the drifters,there goes my baby,1959
193,194,buddy holly,peggy sue,1957
194,195,the chantels,maybe,1957
195,196,guns n roses,sweet child o mine,1987
196,197,elvis presley,don't be cruel,1956
197,198,jimi hendrix,hey joe,1966
198,199,parliament funkadelic,flashlight,1977
199,200,beck,loser,1993
200,201,new order,bizarre love triangle,1986
201,202,the beatles,come together,1969
202,203,bob dylan,positively 4th street,1965
203,204,otis redding,try a little tenderness,1966
204,205,bill withers,lean on me,1972
205,206,the four tops,reach out i'll be there,1966
206,207,the everly brothers,bye bye love,1957
207,208,them,gloria,1965
208,209,the beach boys,in my room,1963
209,210,question mark and the mysterians,96 tears,1966
210,211,the beach boys,caroline no,1966
211,212,prince,1999,1982
212,213,hank williams sr.,your cheating heart,1953
213,214,neil young,rockin' in the free world,1989
214,215,the chords,sh-boom,1954
215,216,the lovin' spoonful,do you believe in magic,1965
216,217,dolly parton,jolene,1974
217,218,john lee hooker,boom boom,1963
218,219,howlin' wolf,spoonful,1960
219,220,the left banke,walk away renee,1966
220,221,lou reed,walk on the wild side,1972
221,222,roy orbison,oh pretty woman,1964
222,223,sly & the family stone,dance to the music,1968
223,224,chic,good times,1979
224,225,muddy waters,hoochie coochie man,1954
225,226,van morrison,moondance,1970
226,227,james taylor,fire and rain,1970
227,228,the clash,should i stay or should i go,1982
228,229,muddy waters,mannish boy,1955
229,230,bob dylan,just like a woman,1966
230,231,marvin gaye,sexual healing,1982
231,232,roy orbison,only the lonely,1960
232,233,the animals,we`ve gotta get out of this place,1965
233,234,the byrds,i'll feel a whole lot better,1965
234,235,ray charles,i got a woman,1954
235,236,buddy holly,everyday,1957
236,237,afrika bambaataa,planet rock,1982
237,238,patsy cline,i fall to pieces,1961
238,239,dion,the wanderer,1961
239,240,dusty springfield,son of a preacher man,1968
240,241,sly & the family stone,stand!,1969
241,242,elton john,rocket man,1972
242,243,the b 52s,love shack,1989
243,244,the spencer davis group,gimme some lovin',1966
244,245,the band,the night they drove old dixie down,1969
245,246,jackie wilson,higher and higher,1967
246,247,sly and the family stone,hot fun in the summertime,1969
247,248,sugarhill gang,rappers delight,1979
248,249,aretha franklin,chain of fools,1967
249,250,black sabbath,paranoid,1970
250,251,bobby darin,mack the knife,1959
251,252,the drifters,money honey,1953
252,253,mott the hoople,all the young dudes,1972
253,254,ac/dc,highway to hell,1979
254,255,blondie,heart of glass,1978
255,256,radiohead,paranoid android,1997
256,257,the troggs,wild thing,1966
257,258,the who,i can see for miles,1967
258,259,jeff buckley,hallelujah,1994
259,260,the dells,"oh, what a night",1969
260,261,stevie wonder,higher ground,1973
261,262,smokey robinson & the miracles,ooo baby baby,1965
262,263,the crystals,he's a rebel,1962
263,264,randy newman,sail away,1972
264,265,archie bell,tighten' up,1968
265,266,the ronettes,walking in the rain,1964
266,267,new york dolls,personality crisis,1973
267,268,u2,sunday bloody sunday,1983
268,269,the modern lovers,roadrunner,1976
269,270,george jones,he stopped loving her today,1980
270,271,the beach boys,sloop john b,1966
271,272,chuck berry,sweet little sixteen,1958
272,273,the beatles,something,1969
273,274,jefferson airplane,somebody to love,1967
274,275,bruce springsteen,born in the usa,1984
275,276,the staple singers,i'll take you there,1972
276,277,david bowie,ziggy stardust,1972
277,278,the cure,pictures of you,1989
278,279,the dixie cups,chapel of love,1964
279,280,bill withers,ain’t no sunshine,1971
280,281,stevie wonder,you are the sunshine of my life,1972
281,282,joni mitchell,help me,1974
282,283,blondie,call me,1980
283,284,elvis costello,"what's so funny about peace, love & …",1979
284,285,howlin' wolf,smoke stack lightnin',1965
285,286,pavement,summer babe,1992
286,287,run dmc,walk this way,1986
287,288,barrett strong,money (that's what i want),1960
288,289,the beatles,can't buy me love,1964
289,290,eminem feat. dido,stan,2000
290,291,the zombies,she's not there,1964
291,292,the clash,train in vain,1979
292,293,al green,tired of being alone,1971
293,294,led zeppelin,black dog,1971
294,295,the rolling stones,street fighting man,1968
295,296,bob marley,"get up, stand up",1975
296,297,neil young,heart of gold,1972
297,298,blondie,one way or another,1978
298,299,prince,sign 'o' the times,1987
299,300,madonna,like a prayer,1989
300,301,rod stewart,da ya think i'm sexy,1978
301,302,willie nelson,blue eyes crying in the rain,1975
302,303,the rolling stones,ruby tuesday,1967
303,304,the beatles,with a little help from my friends,1967
304,305,james brown,say it loud i'm black and i'm proud,1968
305,306,the jam,that's entertainment,1980
306,307,franky lymon,why do fools fall in love,1956
307,308,jackie wilson,lonely teardrops,1958
308,309,tina turner,what's love got to do with it,1984
309,310,black sabbath,iron man,1971
310,311,the everly brothers,wake up little susie,1957
311,312,roy orbison,in dreams,1963
312,313,screamin' jay hawkins,i put a spell on you,1956
313,314,pink floyd,comfortably numb,1979
314,315,the animals,don't let me be misunderstood,1965
315,316,pink floyd,wish you were here,1975
316,317,jimmy cliff,many rivers to cross,1969
317,318,elvis costello,alison,1977
318,319,alice cooper,schools out,1972
319,320,led zeppelin,heartbreaker,1969
320,321,neil young,cortez the killer,1975
321,322,public enemy,fight the power,1989
322,323,patti smith,dancing barefoot,1979
323,324,diana ross & the supremes,baby love,1964
324,325,the rascals,good lovin,1966
325,326,james brown,get up (i feel like being a) sex machine,1970
326,327,jerry butler,for your precious love,1958
327,328,the doors,the end,1967
328,329,"earth, wind & fire",that's the way of the world,1975
329,330,the queen,we will rock you,1977
330,331,bonnie raitt,i can't make you love me,1991
331,332,bob dylan,subterranean homesick blues,1965
332,333,norman greenbaum,spirit in the sky,1970
333,334,the rolling stones,wild horses,1971
334,335,"lou reed, the velvet underground",sweet jane,1970
335,336,aerosmith & run dmc,walk this way,1976
336,337,michael jackson,beat it,1982
337,338,paul mccartney,maybe i'm amazed,1970
338,339,diana ross & the supremes,you keep me hangin' on,1966
339,340,the who,baba o'riley,1971
340,341,jimmy cliff,the harder they come,1975
341,342,dion & the belmonts,runaround sue,1961
342,343,lavern baker,jim dandy,1956
343,344,janis joplin,piece of my heart,1968
344,345,ritchie valens,la bamba,1958
345,346,tupac shakur,california love,1996
346,347,elton john,candle in the wind,1973
347,348,the isley brothers,who's that lady,1973
348,349,ben e. king,spanish harlem,1960
349,350,little eva,the loco-motion,1962
350,351,the platters,the great pretender,1955
351,352,elvis presley,all shook up,1955
352,353,eric clapton,tears in heaven,1992
353,354,elvis costello,watching the detectives,1977
354,355,ccr,bad moon rising,1969
355,356,eurythmics,sweet dreams,1983
356,357,jimi hendrix,little wing,1968
357,358,martha reeves and the vandellas,nowhere to run,1965
358,359,muddy waters,got my mojo working,1957
359,360,roberta flack,killing me softly with his son,1973
360,361,the clash,complete control,1979
361,362,the beatles,all you need is love,1967
362,363,the box tops,the letter,1967
363,364,bob dylan,highway 61 revisited,1965
364,365,the righteous brothers,unchained melody,1965
365,366,the bee gees,how deep is your love,1977
366,367,cream,white room,1968
367,368,depeche mode,personal jesus,1989
368,369,bo diddley,i'm a man,1955
369,370,jimi hendrix,the wind cries mary,1967
370,371,the who,i can't explain,1965
371,372,television,marquee moon,1977
372,373,sam cooke,wonderful world,1960
373,374,chuck berry,brown eyed handsome man,1956
374,375,pink floyd,another brick in the wall part 2,1979
375,376,radiohead,fake plastic trees,1996
376,377,ray charles,hit the road jack,1961
377,378,u2,pride (in the name of love),1984
378,379,r.e.m.,radio free europe,1991
379,380,elton john,goodbye yellow brick road,1973
380,381,aaron neville,tell it like it is,1965
381,382,the verve,bitter sweet symphony,1997
382,383,the allman brothers band,whipping post,1971
383,384,the beatles,ticket to ride,1965
384,385,"crosby, stills, nash & young",ohio,1970
385,386,eric b. and rakim,i know you got soul,1987
386,387,elton john,tiny dancer,1972
387,388,the police,roxanne,1978
388,389,the temptations,just my imagination,1971
389,390,the four tops,baby i need your loving,1965
390,391,freda payne,band of gold,1970
391,392,the five stairsteps,o-o-h child,1970
392,393,the lovin’ spoonful,summer in the city,1966
393,394,elvis presley,can't help falling in love,1961
394,395,the shangri-las,remember (walkin' in the sand),1964
395,396,big star,thirteen,1972
396,397,blue oyster cult,(don`t fear) the reaper,1976
397,398,lynyrd skynyrd,sweet home alabama,1974
398,399,metallica,enter sandman,1991
399,400,paul revere & the raiders,kicks,1966
400,401,the shirelles,tonight's the night,1960
401,402,sly and the family stone,thank you (falettinme be mice elf again),1970
402,403,eddie cochran,c'mon everybody,1958
403,404,bob dylan,visions of johanna,1966
404,405,the carpenters,we've only just begun,1971
405,406,r. kelly,i believe i can fly,1996
406,407,nirvana,in bloom,1992
407,408,aerosmith,sweet emotion,1975
408,409,cream,crossroads,1969
409,410,pixies,monkey gone to heaven,1989
410,411,donna summer,i feel love,1977
411,412,bobbie gentry,ode to billy joe,1967
412,413,little richard,the girl can't help it,1957
413,414,the coasters,young blood,1957
414,415,the four tops,i can't help myself,1965
415,416,don henley,the boys of summer,1984
416,417,n.w.a.,fuck the police,1988
417,418,"crosby, stills & nash",suite judy blue eyes,1969
418,419,dr. dre,nuthin' but a 'g' thang,1993
419,420,the isley brothers,it's your thing,1969
420,421,billy joel,piano man,1973
421,422,the kinks,lola,1970
422,423,elvis presley,blue suede shoes,1956
423,424,the rolling stones,tumbling dice,1972
424,425,the smiths,"william, it was really nothing",1984
425,426,deep purple,smoke on the water,1972
426,427,u2,new year's day,1983
427,428,mitch ryder & the detroit wheels,devil with a blue dress on good golly,1966
428,429,solomon burke,everybody needs somebody to love,1964
429,430,the clash,white man in hammersmith palais,1978
430,431,fats domino,ain't it a shame,1955
431,432,gladys knight and the pips,midnight train to georgia,1977
432,433,led zeppelin,ramble on,1969
433,434,wilson pickett,mustang sally,1966
434,435,the rolling stones,beast of burden,1981
435,436,love,alone again or,1967
436,437,elvis presley,love me tender,1956
437,438,the stooges,i wanna be your dog,1969
438,439,john cougar mellenkamp,pink houses,1984
439,440,salt-n-pepa,push it,1987
