,nme_rank,nme_artist,nme_song
155,159,The Jimi Hendrix Experience ,Purple Haze
156,160,Joy Division ,Transmission
157,161,Dusty Springfield ,Son of a Preacher Man
158,162,David Bowie ,Changes
159,163,The Jacksons ,I Want You Back
160,164,Dizzee Rascal ,"Fix Up, Look Sharp"
161,165,The Breeders ,Cannonball
162,166,Beastie Boys ,(You Gotta) Fight for Your Right to Party
163,168,Bat for Lashes ,Daniel
164,169,Booker T,Green Onions
165,170,Primal Scream ,Higher Than the Sun
166,171,Vampire Weekend ,A-Punk
167,172,LCD Soundsystem ,Someone Great
168,173,Public Enemy ,Rebel Without a Pause
169,174,McAlmont & Butler ,Yes
170,175,The Who ,Won't Get Fooled Again
171,176,The Libertines ,Can't Stand Me Now
172,177,Chuck Berry ,Roll Over Beethoven
173,178,Smokey Robinson & the Miracles ,The Tracks of My Tears
174,179,The Jesus and Mary Chain ,Never Understand
175,180,Flamin' Groovies ,Shake Some Action
176,181,Wu-Tang Clan ,Protest Ya Neck
177,182,The Who ,I Can See for Miles
178,183,The Prodigy ,No Good (Start the Dance)
179,184,Queen & David Bowie ,Under Pressure
180,185,Doves ,There Goes the Fear
181,186,Bob Dylan ,Subterranean Homesick Blues
182,187,Teenage Fanclub ,The Concept
183,188,Arctic Monkeys ,Mardy Bum
184,189,The Libertines ,Don't Look Back Into the Sun
185,190,Primal Scream ,Shoot Speed/Kill Light
186,191,Martha & the Vandellas ,Nowhere to Run
187,194,Supergrass ,Alright
188,195,Joy Division ,Atmosphere
189,196,The Stone Roses ,Made of Stone
190,197,Pixies ,Monkeys Gone to Heaven
191,198,Blur ,This Is a Low
192,199,The Doors ,Light My Fire
193,200,Pixies ,Where Is My Mind?
194,201,The Velvet Underground ,I'm Waiting for the Man
195,202,Marvin Gaye ,What's Going On
196,203,Patsy Kline ,Crazy
197,204,The Pogues & Kirsty MacColl ,Fairytale of New York
198,205,The Strokes ,Reptilla
199,206,PIL ,Rise
200,207,Billy Bragg ,Levi Stubbs Tears
201,208,Daft Punk ,Da Funk
202,209,John Lennon ,Jealous Guy
203,210,The Fall ,Hit the North
204,211,The Supremes ,You Keep Me Hanging On
205,212,R.E.M,Radio Free Europe
206,213,Pixies ,Here Comes Your Man
207,214,Peter Gabriel ,Solsbury Hill
208,215,Nirvana ,Lithium
209,216,Orange Juice ,Rip It Up
210,217,Manic Street Preachers ,Faster
211,218,Nick Cave and the Bad Seeds ,Straight to You
212,219,The Kinks ,You Really Got Me
213,220,Blur ,End of the Century
214,221,Simon and Garfunkel ,Mrs Robinson
215,222,Klaxons ,Golden Skans
216,223,Spiritualized ,Electricity
217,224,The Sugarcubes ,Birthday
218,225,James Brown ,Get Up (I Feel Like Being) a Sex Machine
219,226,Aretha Franklin ,Respect
220,227,The Rolling Stones ,Sympathy for the Devil
221,228,New Order ,Temptation
222,229,Grimes ,Oblivion
223,230,Outkast ,Ms Jackson
224,231,Arctic Monkeys ,Do I Wanna Know?
225,232,Blue Oyster Cult ,(Don't Fear) the Reaper
226,233,T Rex ,Get It On
227,234,Talking Heads ,Psycho Killer
228,235,Elvis Presley ,Jailhouse Rock
229,236,The Cure ,In Between Days
230,237,Ramones ,Blitzkrieg Bop
231,238,Nick Cave and the Bad Seeds ,Tupelo
232,239,Oasis ,Whatever
233,240,Pet Shop Boys ,Rent
234,241,Portishead ,Sour Times
235,242,PIL ,Public Image
236,243,The Beta Band ,Dry the Rain
237,244,Manic Street Preachers ,Motown Junk
238,245,Babyshambles ,Fuck Forever
239,246,The Jimi Hendrix Experience ,Voodoo Child (Slight Return)
240,247,Beastie Boys ,Intergalactic
241,248,Animal Collective ,My Girls
242,249,Air ,Sexy Boy
243,250,David Bowie ,Space Oddity
244,251,Elvis Costello & the Attractions ,Oliver's Army
245,252,Dr Dre feat,Still Dre
246,253,Dexys Midnight Runners ,Come On Eileen
247,254,Pulp ,This Is Hardcore
248,255,Ol' Dirty Bastard ,Got Your Money
249,256,The Horrors ,Sea Within a Sea
250,257,Queens of the Stone Age ,Feel Good Hit of the Summer
251,258,Run-DMC ,Walk This Way
252,259,TLC ,Waterfalls
253,260,Beck ,Sexx Laws
254,261,Underworld ,Born Slippy
255,262,Stardust ,Music Sounds Better With You
