,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,t_artist,t_rank,t_year
514,you keep me hangin' on,,diana ross & the supremes,,339,1966,,,,,
515,baba o'riley,,the who,,340,1971,,,,,
516,the harder they come,,jimmy cliff,,341,1975,,,,,
517,runaround sue,,dion & the belmonts,,342,1961,,,,,
518,jim dandy,,lavern baker,,343,1956,,,,,
519,piece of my heart,,janis joplin,,344,1968,,,,,
520,la bamba,,ritchie valens,,345,1958,,,,,
521,california love,,tupac shakur,,346,1996,,,,,
522,candle in the wind,,elton john,,347,1973,,,,,
523,who's that lady,,the isley brothers,,348,1973,,,,,
524,spanish harlem,,ben e. king,,349,1960,,,,,
525,the loco-motion,,little eva,,350,1962,,,,,
526,the great pretender,,the platters,,351,1955,,,,,
527,all shook up,,elvis presley,,352,1955,,,,,
528,tears in heaven,,eric clapton,,353,1992,,,,,
529,watching the detectives,,elvis costello,,354,1977,,,,,
530,bad moon rising,,ccr,,355,1969,,,,,
531,sweet dreams,,eurythmics,,356,1983,,,,,
532,little wing,,jimi hendrix,,357,1968,,,,,
533,nowhere to run,,martha reeves and the vandellas,,358,1965,,,,,
534,got my mojo working,,muddy waters,,359,1957,,,,,
535,killing me softly with his son,,roberta flack,,360,1973,,,,,
536,complete control,,the clash,,361,1979,,,,,
537,all you need is love,,the beatles,,362,1967,,,,,
538,the letter,,the box tops,,363,1967,,,,,
539,highway 61 revisited,,bob dylan,,364,1965,,,,,
540,unchained melody,,the righteous brothers,,365,1965,,,,,
541,how deep is your love,,the bee gees,,366,1977,,,,,
542,white room,,cream,,367,1968,,,,,
543,personal jesus,,depeche mode,,368,1989,,,,,
544,i'm a man,,bo diddley,,369,1955,,,,,
545,the wind cries mary,,jimi hendrix,,370,1967,,,,,
546,i can't explain,,the who,,371,1965,,,,,
547,marquee moon,,television,,372,1977,,,,,
548,wonderful world,,sam cooke,,373,1960,,,,,
549,brown eyed handsome man,,chuck berry,,374,1956,,,,,
550,another brick in the wall part 2,,pink floyd,,375,1979,,,,,
551,fake plastic trees,,radiohead,,376,1996,,,,,
552,hit the road jack,,ray charles,,377,1961,,,,,
553,pride (in the name of love),,u2,,378,1984,,,,,
554,radio free europe,,r.e.m.,,379,1991,,,,,
555,goodbye yellow brick road,,elton john,,380,1973,,,,,
556,tell it like it is,,aaron neville,,381,1965,,,,,
557,bitter sweet symphony,,the verve,,382,1997,,,,,
558,whipping post,,the allman brothers band,,383,1971,,,,,
559,ticket to ride,,the beatles,,384,1965,,,,,
560,ohio,,"crosby, stills, nash & young",,385,1970,,,,,
561,i know you got soul,,eric b. and rakim,,386,1987,,,,,
562,tiny dancer,,elton john,,387,1972,,,,,
563,roxanne,,the police,,388,1978,,,,,
564,just my imagination,,the temptations,,389,1971,,,,,
565,baby i need your loving,,the four tops,,390,1965,,,,,
566,band of gold,,freda payne,,391,1970,,,,,
567,o-o-h child,,the five stairsteps,,392,1970,,,,,
568,summer in the city,,the lovin’ spoonful,,393,1966,,,,,
569,can't help falling in love,,elvis presley,,394,1961,,,,,
570,remember (walkin' in the sand),,the shangri-las,,395,1964,,,,,
571,thirteen,,big star,,396,1972,,,,,
572,(don`t fear) the reaper,,blue oyster cult,,397,1976,,,,,
573,sweet home alabama,,lynyrd skynyrd,,398,1974,,,,,
574,enter sandman,,metallica,,399,1991,,,,,
575,kicks,,paul revere & the raiders,,400,1966,,,,,
576,tonight's the night,,the shirelles,,401,1960,,,,,
577,thank you (falettinme be mice elf again),,sly and the family stone,,402,1970,,,,,
578,c'mon everybody,,eddie cochran,,403,1958,,,,,
579,visions of johanna,,bob dylan,,404,1966,,,,,
580,we've only just begun,,the carpenters,,405,1971,,,,,
581,i believe i can fly,,r. kelly,,406,1996,,,,,
582,in bloom,,nirvana,,407,1992,,,,,
583,sweet emotion,,aerosmith,,408,1975,,,,,
584,crossroads,,cream,,409,1969,,,,,
585,monkey gone to heaven,,pixies,,410,1989,,,,,
586,i feel love,,donna summer,,411,1977,,,,,
587,ode to billy joe,,bobbie gentry,,412,1967,,,,,
588,the girl can't help it,,little richard,,413,1957,,,,,
589,young blood,,the coasters,,414,1957,,,,,
590,i can't help myself,,the four tops,,415,1965,,,,,
591,the boys of summer,,don henley,,416,1984,,,,,
592,fuck the police,,n.w.a.,,417,1988,,,,,
593,suite judy blue eyes,,"crosby, stills & nash",,418,1969,,,,,
594,nuthin' but a 'g' thang,,dr. dre,,419,1993,,,,,
595,it's your thing,,the isley brothers,,420,1969,,,,,
596,piano man,,billy joel,,421,1973,,,,,
597,lola,,the kinks,,422,1970,,,,,
598,blue suede shoes,,elvis presley,,423,1956,,,,,
599,tumbling dice,,the rolling stones,,424,1972,,,,,
600,"william, it was really nothing",,the smiths,,425,1984,,,,,
601,smoke on the water,,deep purple,,426,1972,,,,,
602,new year's day,,u2,,427,1983,,,,,
603,devil with a blue dress on good golly,,mitch ryder & the detroit wheels,,428,1966,,,,,
604,everybody needs somebody to love,,solomon burke,,429,1964,,,,,
605,white man in hammersmith palais,,the clash,,430,1978,,,,,
606,ain't it a shame,,fats domino,,431,1955,,,,,
607,midnight train to georgia,,gladys knight and the pips,,432,1977,,,,,
608,ramble on,,led zeppelin,,433,1969,,,,,
609,mustang sally,,wilson pickett,,434,1966,,,,,
610,beast of burden,,the rolling stones,,435,1981,,,,,
611,alone again or,,love,,436,1967,,,,,
612,love me tender,,elvis presley,,437,1956,,,,,
613,i wanna be your dog,,the stooges,,438,1969,,,,,
614,pink houses,,john cougar mellenkamp,,439,1984,,,,,
615,push it,,salt-n-pepa,,440,1987,,,,,
616,come go with me,,the dell-vikings,,441,1957,,,,,
617,keep a knockin',,little richard,,442,1957,,,,,
618,i shot the sheriff,,bob marley & the wailers,,443,1973,,,,,
619,i got you babe,,sonny & cher,,444,1965,,,,,
620,come as you are,,nirvana,,445,1992,,,,,
621,pressure drop,,toots and the maytals,,446,1968,,,,,
622,leader of the pack,,the shangri-las,,447,1964,,,,,
623,heroin,,the velvet underground,,448,1967,,,,,
624,penny lane,,the beatles,,449,1967,,,,,
625,by the time i get to phoenix,,glen campbell,,450,1967,,,,,
626,the twist,,chubby checker,,451,1960,,,,,
627,cupid,,sam cooke,,452,1961,,,,,
628,paradise city,,guns ‘n' roses,,453,1987,,,,,
629,my sweet lord,,george harrison,,454,1970,,,,,
630,all apologies,,nirvana,,455,1994,,,,,
631,stagger lee,,lloyd price,,456,1958,,,,,
632,sheena is a punk rocker,,ramones,,457,1977,,,,,
633,soul man,,sam & dave,,458,1965,,,,,
634,rollin' stone,,muddy waters,,459,1950,,,,,
635,one fine day,,the chiffons,,460,1963,,,,,
636,kiss,,prince and the revolution,,461,1986,,,,,
637,respect yourself,,the staple singers,,462,1972,,,,,
638,rain,,the beatles,,463,1966,,,,,
639,standing in the shadows of love,,the four tops,,464,1966,,,,,
640,surrender,,cheap trick,,465,1978,,,,,
641,runaway,,del shannon,,466,1961,,,,,
642,welcome to the jungle,,guns ‘n' roses,,467,1987,,,,,
643,search and destroy,,the stooges,,468,1964,,,,,
644,it's too late,,carole king,,469,1971,,,,,
645,free man in paris,,joni mitchell,,470,1974,,,,,
646,on the road again,,willie nelson,,471,1980,,,,,
647,where did our love go,,the supremes,,472,1964,,,,,
648,do right woman - do right man,,aretha franklin,,473,1967,,,,,
649,one nation under a groove (part. 1),,funkadelic,,474,1978,,,,,
650,sabotage,,beastie boys,,475,1994,,,,,
651,i want to know what love is,,foreigner,,476,1984,,,,,
652,super freak,,rick james,,477,1981,,,,,
653,white rabbit,,jefferson airplane,,478,1967,,,,,
654,lady marmalade,,labelle,,479,1974,,,,,
655,into the mystic,,van morrison,,480,1970,,,,,
656,young americans,,david bowie,,481,1975,,,,,
657,i'm eighteen,,alice cooper,,482,1971,,,,,
658,just like heaven,,the cure,,483,1987,,,,,
659,i love rock and roll,,joan jett,,484,1981,,,,,
660,graceland,,paul simon,,485,1986,,,,,
661,how soon is now,,the smiths,,486,1984,,,,,
662,under the boardwalk,,the drifters,,487,1964,,,,,
663,rhiannon,,fleetwood mac,,488,1975,,,,,
664,i will survive,,gloria gaynor,,489,1978,,,,,
665,brown sugar,,the rolling stones,,490,1971,,,,,
666,you don't have to say you love me,,dusty springfield,,491,1966,,,,,
667,running on empty,,jackson browne,,492,1977,,,,,
668,then he kissed me,,the crystals,,493,1963,,,,,
669,desperado,,the eagles,,494,1973,,,,,
670,shop around,,smokey robinson,,495,1960,,,,,
671,miss you,,the rolling stones,,496,1978,,,,,
672,buddy holly,,weezer,,497,1994,,,,,
673,rainy night in georgia,,brook benton,,498,1970,,,,,
674,the boys are back in town,,thin lizzy,,499,1976,,,,,
675,more than a feeling,,boston,,500,1976,,,,,
