,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,rs_artist13,t_artist,rs_rank13,t_rank,rs_year13,t_year
69,kiss,,,,,,,kiss,prince and the revolution,prince,461,37.0,1986,1986.0
70,light my fire,light my fire,the doors,the doors,35,199,1967,,,,,,,
71,like a prayer,like a prayer,madonna,madonna,300,47,1989,,,,,,,
72,like a rolling stone,like a rolling stone,bob dylan,bob dylan,1,49,1961,,,,,,,
73,lola,lola,the kinks,the kinks,422,473,1970,,,,,,,
74,london calling,london calling,the clash,the clash,15,32,1980,,,,,,,
75,lose yourself,lose yourself,eminem,eminem,166,88,2002,,,,,,,
76,losing my religion,loosing my religion,r.e.m.,r.e.m,169,101,1991,,,,,,,
77,louie louie,louie louie,the kingsmen,the kingsman,55,157,1963,,,,,,,
78,love will tear us apart,love will tear us apart,joy division,joy division,179,2,1980,love will tear us apart,joy division,joy division,179,26.0,1980,1980.0
79,lust for life,lust for life,iggy pop,iggy pop,147,459,1977,,,,,,,
80,monkey gone to heaven,monkeys gone to heaven,pixies,pixies,410,197,1989,,,,,,,
81,my generation,my generation,the who,the who,11,70,1965,,,,,,,
82,my sweet lord,my sweet lord,george harrison,george harrison,454,270,1970,,,,,,,
83,never loved a man (the way i love you),,,,,,,i never loved a man the way i love you,aretha franklin,aretha franklin,186,67.0,1967,1967.0
84,no woman no cry,no woman no cry,bob marley,bob marley,37,139,1975,,,,,,,
85,nothing compares 2 u,nothing compares 2 u,sinead o'connor,sinead o' connor,162,38,1990,nothing compares 2 u,sinead o'connor,sinéad o’connor,162,9.0,1990,1990.0
86,nowhere to run,nowhere to run,martha reeves and the vandellas,martha & the vandellas,358,191,1965,,,,,,,
87,nuthin' but a 'g' thang,nothin' but a 'g' thing,dr. dre,dr dre,419,477,1993,,,,,,,
88,oh pretty woman,oh pretty woman,roy orbison,roy orbison,222,387,1964,,,,,,,
89,one nation under a groove (part. 1),one nation under a groove,funkadelic,funkadelic,474,319,1978,one nation under a groove,funkadelic,funkadelic,474,73.0,1978,1978.0
90,one way or another,one way or another,blondie,blondie,298,455,1978,,,,,,,
91,paint it black,paint it black,rolling stones,the rolling stones,174,136,1966,,,,,,,
92,papa was a rollin' stone,papa was a rolling stone,the temptations,the temptations,168,310,1972,,,,,,,
93,papa's got a brand new bag,papa's got a brand new bag,james brown,james brown,72,154,1966,,,,,,,
94,paradise city,paradise city,guns ‘n' roses,guns 'n' roses,453,423,1987,,,,,,,
95,paranoid,paranoid,black sabbath,black sabbath,250,391,1970,,,,,,,
96,paranoid android,paranoid android,radiohead,radiohead,256,45,1997,paranoid android,radiohead,radiohead,256,52.0,1997,1997.0
97,personal jesus,personal jesus,depeche mode,dépêche mode,368,323,1989,,,,,,,
98,pictures of you,pictures of you,the cure,the cure,278,360,1989,,,,,,,
99,purple haze,purple haze,jimmy hendrix,the jimi hendrix experience,17,159,1967,,,,,,,
100,purple rain,purple rain,prince,prince,143,123,1984,,,,,,,
101,push it,push it,salt-n-pepa,salt 'n' peppa,440,466,1987,,,,,,,
102,radio free europe,radio free europe,r.e.m.,r.e.m,379,212,1991,,,,,,,
103,rave on,rave on,buddy holly,buddy holly,154,332,1958,,,,,,,
104,reach out i'll be there,reach out and i'll be there,the four tops,the four tops,206,274,1966,,,,,,,
105,respect,respect,aretha franklin,aretha franklin,5,226,1967,,,,,,,
106,ring of fire,ring of fire,johnny cash,johnny cash,87,318,1963,,,,,,,
107,river deep - mountain high,river deep mountain high,tina turner,ike and tina turner,33,37,1966,,,,,,,
108,roadrunner,roadrunner,the modern lovers,jonathan richman & the modern lovers,269,376,1976,,,,,,,
109,rock lobster,sex and drugs and rock and roll,the b-52's,ian dury and the blockheads,146,358,1979,,,,,,,
110,roll over beethoven,roll over beethoven,chuck berry,chuck berry,97,177,1956,,,,,,,
111,sabotage,sabotage,beastie boys,beastie boys,475,56,1994,,,,,,,
112,september girls,,,,,,,september gurls,big star,big star,178,86.0,1974,1974.0
113,sexual healing,sexual healing,marvin gaye,marvin gaye,231,326,1982,,,,,,,
114,"shake, rattle and roll",,,,,,,ball and chain,big joe turner,willie mae “big mama’ thornton,126,95.0,1954,1968.0
115,she loves you,she loves you,the beatles,the beatles,64,280,1963,,,,,,,
116,sheena is a punk rocker,sheena is a punk rocker,ramones,ramones,457,407,1977,,,,,,,
117,sitting on the dock of the bay,(sittin' on) the dock of the bay,otis redding,otis redding,28,150,1968,,,,,,,
118,smells like teen spirit,smells like teen spirit,nirvana,nirvana,9,1,1991,smells like teen spirit,nirvana,nirvana,9,4.0,1991,1991.0
119,something,something,the beatles,the beatles,273,304,1969,,,,,,,
120,son of a preacher man,son of a preacher man,dusty springfield,dusty springfield,240,161,1968,,,,,,,
121,stan,stan,eminem feat. dido,eminem,290,340,2000,,,,,,,
122,stand by me,stand by me,ben e. king,ben e king,121,65,1961,,,,,,,
123,stayin' alive,,,,,,,stayin’ alive,the bee gees,bee gees,189,7.0,1977,1977.0
124,strawberry fields forever,strawberry fields forever,the beatles,the beatles,76,35,1967,,,,,,,
125,street fighting man,(white man) in hammersmith palais,the rolling stones,the clash,295,69,1968,,,,,,,
126,subterranean homesick blues,subterranean homesick blues,bob dylan,bob dylan,332,186,1965,subterranean homesick blues,bob dylan,bob dylan,332,54.0,1965,1965.0
127,suite judy blue eyes,,,,,,,suite: judy blue eyes,"crosby, stills & nash","crosby, stills & nash",418,58.0,1969,1969.0
128,superstition,superstition,stevie wonder,stevie wonder,74,103,1973,superstition,stevie wonder,stevie wonder,74,15.0,1973,1972.0
129,suspicious minds,suspicious minds,elvis presley,elvis presley,91,58,1969,,,,,,,
130,sweet child o mine,sweet child o' mine,guns n roses,guns 'n' roses,196,471,1987,,,,,,,
131,sweet jane,bitter sweet symphony,"lou reed, the velvet underground",the verve,335,115,1970,,,,,,,
132,sympathy for the devil,sympathy for the devil,the rolling stones,the rolling stones,32,227,1968,,,,,,,
133,tangled up in blue,tangled up in blue,bob dylan,bob dylan,68,277,1975,,,,,,,
134,thank you (falettinme be mice elf again),be my baby,sly and the family stone,the ronettes,402,9,1970,,,,,,,
135,that'll be the day,,,,,,,that’ll be the day,"holly, buddy",buddy holly and the crickets,39,20.0,1957,1957.0
136,the boys are back in town,the boys are back in town,thin lizzy,thin lizzy,499,402,1976,,,,,,,
137,the message,the message,grandmaster flash,grandmaster flash & the furious five,51,97,1980,,,,,,,
138,the night they drove old dixie down,,,,,,,the night they drove old dixie down,the band,the band,245,75.0,1969,1969.0
139,the tracks of my tears,the tracks of my tears,smokey robinson & the miracles,smokey robinson & the miracles,50,178,1965,,,,,,,
140,thunder road,,,,,,,thunder road,bruce springsteen,bruce springsteen,86,49.0,1975,1975.0
141,ticket to ride,ticket to ride,the beatles,the beatles,384,311,1965,,,,,,,
142,tiny dancer,tiny dancer,elton john,elton john,387,158,1972,,,,,,,
143,train in vain,(white man) in hammersmith palais,the clash,the clash,292,69,1979,,,,,,,
144,tumbling dice,tumbling dice,the rolling stones,the rolling stones,424,446,1972,,,,,,,
145,tutti frutti,,,,,,,tutti frutti,little richard,little richard,43,28.0,1956,1955.0
146,voodoo child,voodoo child (slight return),jimi hendrix,the jimi hendrix experience,101,246,1968,,,,,,,
147,walk on the wild side,walk on the wild side,lou reed,lou reed,221,50,1972,,,,,,,
148,walk this way,walk this way,run dmc,run-dmc,287,258,1986,,,,,,,
149,walk this way,walk this way,aerosmith & run dmc,run-dmc,336,258,1976,,,,,,,
150,watching the detectives,watching the detectives,elvis costello,elvis costello & the attractions,354,413,1977,,,,,,,
151,waterloo sunset,waterloo sunset,the kinks,the kinks,42,23,1968,,,,,,,
