,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,t_artist,t_rank,t_year
106,monkey gone to heaven,monkeys gone to heaven,pixies,pixies,410,197,1989,,,,
107,my generation,my generation,the who,the who,11,70,1965,,,,
108,my sweet lord,my sweet lord,george harrison,george harrison,454,270,1970,,,,
109,no woman no cry,no woman no cry,bob marley,bob marley,37,139,1975,,,,
110,nowhere to run,nowhere to run,martha reeves and the vandellas,martha & the vandellas,358,191,1965,,,,
111,nuthin' but a 'g' thang,nothin' but a 'g' thing,dr. dre,dr dre,419,477,1993,,,,
112,oh pretty woman,oh pretty woman,roy orbison,roy orbison,222,387,1964,,,,
113,one way or another,one way or another,blondie,blondie,298,455,1978,,,,
114,paint it black,paint it black,rolling stones,the rolling stones,174,136,1966,,,,
115,papa was a rollin' stone,papa was a rolling stone,the temptations,the temptations,168,310,1972,,,,
116,papa's got a brand new bag,papa's got a brand new bag,james brown,james brown,72,154,1966,,,,
117,paradise city,paradise city,guns ‘n' roses,guns 'n' roses,453,423,1987,,,,
118,paranoid,paranoid,black sabbath,black sabbath,250,391,1970,,,,
119,personal jesus,personal jesus,depeche mode,dépêche mode,368,323,1989,,,,
120,pictures of you,pictures of you,the cure,the cure,278,360,1989,,,,
121,purple haze,purple haze,jimmy hendrix,the jimi hendrix experience,17,159,1967,,,,
122,purple rain,purple rain,prince,prince,143,123,1984,,,,
123,push it,push it,salt-n-pepa,salt 'n' peppa,440,466,1987,,,,
124,radio free europe,radio free europe,r.e.m.,r.e.m,379,212,1991,,,,
125,rave on,rave on,buddy holly,buddy holly,154,332,1958,,,,
126,reach out i'll be there,reach out and i'll be there,the four tops,the four tops,206,274,1966,,,,
127,respect,respect,aretha franklin,aretha franklin,5,226,1967,,,,
128,ring of fire,ring of fire,johnny cash,johnny cash,87,318,1963,,,,
129,river deep - mountain high,river deep mountain high,tina turner,ike and tina turner,33,37,1966,,,,
130,roadrunner,roadrunner,the modern lovers,jonathan richman & the modern lovers,269,376,1976,,,,
131,rock lobster,sex and drugs and rock and roll,the b-52's,ian dury and the blockheads,146,358,1979,,,,
132,roll over beethoven,roll over beethoven,chuck berry,chuck berry,97,177,1956,,,,
133,sabotage,sabotage,beastie boys,beastie boys,475,56,1994,,,,
134,sexual healing,sexual healing,marvin gaye,marvin gaye,231,326,1982,,,,
135,she loves you,she loves you,the beatles,the beatles,64,280,1963,,,,
136,sheena is a punk rocker,sheena is a punk rocker,ramones,ramones,457,407,1977,,,,
137,sitting on the dock of the bay,(sittin' on) the dock of the bay,otis redding,otis redding,28,150,1968,,,,
138,something,something,the beatles,the beatles,273,304,1969,,,,
139,son of a preacher man,son of a preacher man,dusty springfield,dusty springfield,240,161,1968,,,,
140,stan,stan,eminem feat. dido,eminem,290,340,2000,,,,
141,stand by me,stand by me,ben e. king,ben e king,121,65,1961,,,,
142,strawberry fields forever,strawberry fields forever,the beatles,the beatles,76,35,1967,,,,
143,street fighting man,(white man) in hammersmith palais,the rolling stones,the clash,295,69,1968,,,,
144,suspicious minds,suspicious minds,elvis presley,elvis presley,91,58,1969,,,,
145,sweet child o mine,sweet child o' mine,guns n roses,guns 'n' roses,196,471,1987,,,,
146,sweet jane,bitter sweet symphony,"lou reed, the velvet underground",the verve,335,115,1970,,,,
147,sympathy for the devil,sympathy for the devil,the rolling stones,the rolling stones,32,227,1968,,,,
148,tangled up in blue,tangled up in blue,bob dylan,bob dylan,68,277,1975,,,,
149,thank you (falettinme be mice elf again),be my baby,sly and the family stone,the ronettes,402,9,1970,,,,
150,the boys are back in town,the boys are back in town,thin lizzy,thin lizzy,499,402,1976,,,,
151,the message,the message,grandmaster flash,grandmaster flash & the furious five,51,97,1980,,,,
152,the tracks of my tears,the tracks of my tears,smokey robinson & the miracles,smokey robinson & the miracles,50,178,1965,,,,
153,ticket to ride,ticket to ride,the beatles,the beatles,384,311,1965,,,,
154,tiny dancer,tiny dancer,elton john,elton john,387,158,1972,,,,
155,train in vain,(white man) in hammersmith palais,the clash,the clash,292,69,1979,,,,
156,tumbling dice,tumbling dice,the rolling stones,the rolling stones,424,446,1972,,,,
157,voodoo child,voodoo child (slight return),jimi hendrix,the jimi hendrix experience,101,246,1968,,,,
158,walk on the wild side,walk on the wild side,lou reed,lou reed,221,50,1972,,,,
159,walk this way,walk this way,run dmc,run-dmc,287,258,1986,,,,
